offer_id	organization_id	discount	recommended_revenue	recommended_pid	recommended_pid_name	physical_channel	published_revenue	new_potential_revenue	shipments	wps	product_cluster	industry_code	contactrole	reason_for_lead	lead_source_type	primary_competitor
CL_O_114131640217	DHL CL	55.00023829570909	79.7945294117647	NULL	TDE_47%	NULL	151.0728	54.0	2	60.0	TDExport	TECHCSEL	Influencer	Cash Customer	CSV	FedEx
CL_O_114173039103	DHL CL	34.99500249875062	6.951088235294117	NULL	TDI_FTB1801	NULL	9.6048	15.5646	1	2.0	TDImport	AUTOCM12	Influencer	Cash Customer	CSV	NULL
CL_O_114662281296	DHL CL	65.00037729895112	1048.2543529411764	NULL	TDI_80%	Wholesalers	5247.828	720.0	36	127.0	TDImport	PROFPSOP	Decision Maker	Advertising	Manual	UPS
CL_O_114662352687	DHL CL	30.00007228828568	48.213794117647055	NULL	TDD_21%	NULL	61.03014705882353	69.0	4	50.0	TDDom	RETLGMSP	Influencer	Cash Customer	CSV	OTHER
CL_O_114663388169	DHL CL	50.0	67.1135294117647	NULL	TDE_43%	NULL	117.8928	72.0	12	5.0	TDExport	CSMRMDEN	Influencer	Cash Customer	CSV	FedEx
CL_O_114663424164	DHL CL	70.03660940580119	61.70779411764706	NULL	TDE_42%	E-Commerce	106.53	240.0	20	2.0	TDExport	RETLGMSP	Decision Maker	NULL	Manual	Other
CL_O_114172047657	DHL CL	45.001655081098974	10.930235294117647	NULL	TDE_25%	NULL	14.5008	18.0	4	0.5	TDExport	ENGMCSEQ	Influencer	Cash Customer	CSV	FedEx
CL_O_113359082082	DHL CL	34.97970230040595	11.354823529411764	NULL	TDE_FTB1801	NULL	15.9624	27.0	1	10.0	TDExport	TECHCSEL	Influencer	Cash Customer	CSV	NULL
CL_O_114171745845	DHL CL	51.999594162706934	42.64658823529412	NULL	TDI_40%	NULL	70.9644	21.0	2	15.0	TDImport	AUTOARFF	NULL	Campaign	Liveball	UPS
CL_O_114663568586	DHL CL	68.00005305250872	92.1695294117647	NULL	TDI_49%	NULL	180.9528	192.0	4	20.0	TDImport	FASHFASH	Influencer	Cash Customer	CSV	FedEx
CL_O_114663601768	DHL CL	50.00400051033537	33.051	NULL	TDD_19%	NULL	40.80361764705882	18.0	50	1.0	TDDom	TECHIMGP	Influencer	Cash Customer	CSV	Correos de Chile
CL_O_114163175314	DHL CL	33.00316957210778	15.24335294117647	NULL	TDI_33%	NULL	22.716	15.0	3	1.0	TDImport	CSMRCSDU	Influencer	Cash Customer	CSV	OTHER
CL_O_114664366088	DHL CL	35.0	16.669235294117648	NULL	TDI_35%	NULL	25.596	16.62	1	20.0	TDImport	PROFSVCP	Decision Maker	Cash Customer	CSV	Other
CL_O_114664435182	DHL CL	45.00007408794374	50.43608823529412	NULL	TDD_23%	NULL	65.5024411764706	42.0	80	1.0	TDDom	CSMRFMCG	Influencer	Campaign	Liveball	Correos de Chile
CL_O_114665039378	DHL CL	45.00000547135146	60.47558823529412	NULL	TDD_25%	NULL	80.63391176470589	60.0	15	15.0	TDDom	CSMRCSDU	Approver	Website	CSV	FedEx
CL_O_114162526976	DHL CL	49.99389893662929	100.9760294117647	NULL	TDI_FTB1805	NULL	201.6042	30.0	1	100.0	TDImport	RETLSPRT	NULL	New Customer - New Business	External Database	NULL
CL_O_114162526720	DHL CL	55.00000000000001	45.504705882352944	NULL	TDI_FTB1803	NULL	75.72	51.42	10	1.0	TDImport	FASHFASH	Influencer	Cash Customer	CSV	UPS
CL_O_114655368148	DHL CL	60.24954452603103	45.58579411764706	NULL	TDI_40%	NULL	76.0746	42.0	20	0.5	TDImport	LSHEHCDB	Influencer	Campaign	Liveball	NONE
CL_O_114184790400	DHL CL	50.00292471776474	19.825058823529414	NULL	TDI_36%	NULL	30.7722	47.64	3	5.33	TDImport	ENGMMINE	Influencer	Cash Customer	CSV	FedEx
CL_O_114640723602	DHL CL	50.00212478184351	47.56764705882353	NULL	TDD_21%	NULL	60.213794117647055	60.0	40	3.0	TDDom	CSMRCSDU	Influencer	Cash Customer	CSV	Correos de Chile
CL_O_114645080848	DHL CL	29.999970110471693	122.21523529411765	NULL	TDD_31%	NULL	177.12282352941176	108.0	20	25.0	TDDom	CSMRFMCG	Influencer	Cash Customer	CSV	Freight Forwarder
CL_O_114184377295	DHL CL	44.997821983447075	59.28088235294118	NULL	TDI_43%	NULL	103.305	21.0	25	1.0	TDImport	OTHROTHR	Influencer	Cash Customer	CSV	FedEx
CL_O_114184348505	DHL CL	40.000369774622364	39.20064705882353	NULL	TDI_40%	NULL	64.9044	64.92	4	10.0	TDImport	ENGMINDE	Influencer	Cash Customer	CSV	FedEx
CL_O_114645268880	DHL CL	69.99907732053885	337.73823529411766	NULL	TDE_74%	NULL	1300.56	740.58	100	10.0	TDExport	PROFLOGS	Decision Maker	Cash Customer	CSV	Freight Forwarder
CL_O_114653279651	DHL CL	59.99986941557758	204.3303529411765	NULL	TDD_37%	NULL	324.3337941176471	63.0	30	31.0	TDDom	RETLSPRT	Decision Maker	Campaign	Liveball	Other
CL_O_114183593834	DHL CL	50.00190861549032	116.29985294117647	NULL	TDI_51%	NULL	235.773	448.2	15	5.0	TDImport	RETLTHRC	Influencer	Cash Customer	CSV	UPS
CL_O_114653657886	DHL CL	27.983779210549343	14.792470588235293	NULL	TDE_FTB1801	NULL	20.5662	36.0	1	10.0	TDExport	CSMRCSDU	Influencer	Cash Customer	CSV	FedEx
CL_O_114183593168	DHL CL	39.99553585525789	136.6659705882353	NULL	TDD_33%	NULL	203.97820588235294	240.0	312	0.5	TDDom	OTHROTHR	Influencer	Consignee	ISL	Chile Express
CL_O_114183344671	DHL CL	49.99311199889792	52.60588235294118	NULL	TDE_FTB1803	NULL	87.108	56.4	20	0.5	TDExport	ENGMMINE	Influencer	Website	CSV	FedEx
CL_O_114182330754	DHL CL	50.000663156359	53.654823529411765	NULL	TDI_41%	NULL	90.4764	18.0	2	20.0	TDImport	TECHCSEL	NULL	New Customer - New Business	External Database	NULL
CL_O_114655167142	DHL CL	45.00081998578691	51.7415294117647	NULL	TDE_41%	NULL	87.8064	427.2	4	10.0	TDExport	TECHCSEL	Influencer	NULL	Manual	Other
CL_O_114173882927	DHL CL	50.03551397291141	16.989882352941176	NULL	TDE_31%	NULL	24.4974	120.0	11	0.5	TDExport	ENGMMINE	Decision Maker	Website	CSV	DGF
CL_O_114655347770	DHL CL	44.968632704219	54.232058823529414	NULL	TDI_FTB1803	NULL	90.4764	35.4	2	20.0	TDImport	TECHCSEL	Influencer	Cash Customer	CSV	NULL
CL_O_114821244945	DHL CL	50.00045517856655	150.09882352941176	NULL	TDI_55%	NULL	329.541	30.0	5	50.0	TDImport	NULL	Decision Maker	NULL	Manual	NULL
CL_O_114162430834	DHL CL	54.98124706985467	179.55529411764707	NULL	TDI_FTB1808	NULL	511.92	291.12	20	20.0	TDImport	CSMRCSDU	Influencer	Cash Customer	CSV	OTHER
CL_O_114673437346	DHL CL	20.000570273767053	21.04279411764706	NULL	TDD_15%	NULL	24.755911764705882	14.82	12	5.0	TDDom	CSMRFMCG	Influencer	Campaign	Liveball	Other
CL_O_114707245685	DHL CL	50.001310009344735	8.991794117647059	NULL	TDD_11%	NULL	10.103205882352942	37.68	5	5.0	TDDom	FASHFASH	Influencer	Cash Customer	CSV	Other
CL_O_114707446440	DHL CL	50.00021686485705	48.213794117647055	NULL	TDD_21%	NULL	61.03014705882353	93.0	4	50.0	TDDom	RETLGMSP	Influencer	Cash Customer	CSV	FedEx
CL_O_114707915450	DHL CL	34.99011005731096	23.270294117647058	NULL	TDI_FTB1802	NULL	35.4906	23.04	3	5.0	TDImport	PROFLOGS	Influencer	Cash Customer	CSV	FedEx
CL_O_113322671837	DHL CL	56.99943418399176	103.9235294117647	NULL	TDI_49%	NULL	206.781	96.0	5	30.0	TDImport	ENGMBUIL	Influencer	Cash Customer	CSV	FedEx
CL_O_114716170220	DHL CL	34.99466174900515	8.977323529411764	NULL	TDE_FTB1801	NULL	12.3636	18.0	1	4.0	TDExport	TECHCSEL	Influencer	Campaign	Liveball	NULL
CL_O_114132275651	DHL CL	28.001089536557842	10.295382352941177	NULL	TDI_33%	NULL	15.4194	10.32	1	8.0	TDImport	LSHEMEDD	NULL	Website	CSV	Other
CL_O_114717672862	DHL CL	49.98717261002402	46.71105882352941	NULL	TDI_FTB1803	NULL	77.1786	38.4	3	10.0	TDImport	OTHROTHR	Influencer	Website	CSV	Other
CL_O_114706771155	DHL CL	60.0	155.7984705882353	NULL	TDI_55%	NULL	343.278	343.26	3	100.0	TDImport	ENGMINDE	Influencer	Cash Customer	CSV	Other
CL_O_114132143694	DHL CL	32.999961827690186	10.495147058823528	NULL	TDI_33%	NULL	15.7182	10.2	1	5.0	TDImport	OTHROTHR	Influencer	Campaign	Liveball	FedEx
CL_O_114718380268	DHL CL	19.64728213865773	156.9276176470588	NULL	TDE_58%	NULL	370.4604	595.32	5	80.0	TDExport	RETLGMSP	Influencer	Cash Customer	CSV	Other
CL_O_114720493672	DHL CL	31.0	10.233529411764707	NULL	TDI_31%	NULL	14.64	14.64	1	10.0	TDImport	CSMRCSDU	Influencer	Campaign	Liveball	Other
CL_O_114726482156	DHL CL	31.002578492340362	8.295088235294118	NULL	TDI_31%	NULL	11.8674	10.62	3	0.5	TDImport	FASHFASH	Decision Maker	Cash Customer	CSV	FedEx
CL_O_114727402463	DHL CL	63.14865881173227	30.54970588235294	NULL	TDE_37%	NULL	47.868	44.04	10	0.5	TDExport	CSMRCSDU	Influencer	Website	CSV	Correos de Chile
CL_O_114131733377	DHL CL	65.0	93.8325	NULL	TDI_49%	NULL	184.62	198.0	5	30.0	TDImport	LSHECLTR	Influencer	Cash Customer	CSV	FedEx
CL_O_114727495939	DHL CL	54.99995168895416	79.99658823529411	NULL	TDD_27%	NULL	109.58399999999999	73.92	20	15.0	TDDom	CSMRCSDU	Approver	Website	CSV	UPS
CL_O_114727495970	DHL CL	50.004202768447634	21.78229411764706	NULL	TDD_17%	NULL	26.243205882352942	52.62	40	0.5	TDDom	CSMRCSDU	Influencer	Cash Customer	CSV	Other
CL_O_113323437646	DHL CL	52.00014392400812	337.19823529411764	NULL	TDI_62%	NULL	900.4752	66.0	6	75.0	TDImport	RETLSPRT	Decision Maker	New Customer - New Business	External Database	FedEx
CL_O_114697304793	DHL CL	45.0	58.626	NULL	TDI_43%	NULL	102.384	54.0	4	20.0	TDImport	AUTOARFF	Decision Maker	Cash Customer	CSV	OTHER
CL_O_114673500886	DHL CL	55.00030421643986	139.14176470588234	NULL	TDI_53%	NULL	295.842	60.0	10	20.0	TDImport	TECHEMSO	Decision Maker	NULL	Manual	Other
CL_O_114673931598	DHL CL	45.0	14.64979411764706	NULL	TDD_13%	NULL	16.838823529411766	21.0	8	5.0	TDDom	LSHEHCDB	Decision Maker	Cash Customer	CSV	Other
CL_O_114674107227	DHL CL	54.99866396915677	80.2164705882353	NULL	TDI_49%	NULL	157.182	99.0	10	5.0	TDImport	CSMRMDEN	Influencer	Cash Customer	CSV	FedEx
CL_O_114674147682	DHL CL	53.00029824038175	102.67235294117647	NULL	TDI_49%	NULL	201.18	180.0	10	15.0	TDImport	RETLSPRT	Influencer	Campaign	Liveball	UPS
CL_O_114153024815	DHL CL	65.00018695922046	168.15882352941176	NULL	TDI_58%	NULL	401.157	180.0	8	38.0	TDImport	AUTOCM12	User	Referral	ISL	FedEx
CL_O_114152239673	DHL CL	19.997487226735913	11.250882352941177	NULL	TDD_11%	NULL	12.641294117647059	30.0	20	0.5	TDDom	FASHFASH	Influencer	Website	CSV	Other
CL_O_113327476171	DHL CL	44.96592333003942	63.88252941176471	NULL	TDI_FTB1804	NULL	117.7932	36.0	2	27.0	TDImport	OTHROTHR	Influencer	Campaign	Liveball	Other
CL_O_114681711418	DHL CL	44.24384027187766	55.0385294117647	NULL	TDE_41%	NULL	93.2184	12.0	5	20.0	TDExport	AUTOARFF	Influencer	Campaign	Liveball	Correos de Chile
CL_O_114683281938	DHL CL	15.000707180236674	8.51585294117647	NULL	TDD_09%	NULL	9.357794117647058	17.52	12	1.0	TDDom	LSHEHCDB	Influencer	Campaign	Liveball	Other
CL_O_114683431695	DHL CL	61.11111111111111	31.23035294117647	NULL	TDI_38%	NULL	50.544	48.0	8	5.0	TDImport	CSMRCSDU	Influencer	Cash Customer	CSV	Other
CL_O_114151460710	DHL CL	25.0	6.5554411764705875	NULL	TDE_25%	NULL	8.7576	12.0	1	5.0	TDExport	CSMRCSDU	Approver	Campaign	Liveball	OTHER
CL_O_114683687026	DHL CL	35.000116612636134	16.663941176470587	NULL	TDI_35%	NULL	25.7262	12.0	1	10.0	TDImport	TECHCSEL	Influencer	Cash Customer	CSV	OTHER
CL_O_114142612721	DHL CL	33.634039130060046	15.231441176470588	NULL	TDE_29%	NULL	20.8842	300.0	1	9.5	TDExport	OTHROTHR	Decision Maker	NULL	NULL	NULL
CL_O_114694078196	DHL CL	57.999087971132305	138.72264705882353	NULL	TDE_54%	NULL	302.622	180.0	10	20.0	TDExport	AUTOCM12	Influencer	Existing Customer	CSV	FedEx
CL_O_114694353165	DHL CL	59.99998044979164	428.17129411764705	NULL	TDI_65%	NULL	1227.6084	180.0	2	300.0	TDImport	OTHROTHR	Influencer	Cash Customer	CSV	Freight Forwarder
CL_O_114696017050	DHL CL	54.99999999999999	76.16876470588235	NULL	TDI_45%	NULL	137.856	21.0	2	60.0	TDImport	ENGMCSEQ	Influencer	Cash Customer	CSV	FedEx
CL_O_114696452655	DHL CL	20.0	5.3186470588235295	NULL	TDE_14%	NULL	6.156	4.32	2	0.5	TDExport	OTHROTHR	Approver	New Customer - New Business	ISL	Other
CL_O_113906103982	DHL CL	34.99207606973059	10.92070588235294	NULL	TDI_FTB1801	NULL	15.144	12.0	2	1.0	TDImport	OTHROTHR	Influencer	Website	CSV	NULL
CL_O_113422735925	DHL CL	31.9983506004845	7.710705882352941	NULL	TDI_31%	NULL	11.6406	13.2	1	3.0	TDImport	ENGMCSEQ	Influencer	Cash Customer	CSV	Other
CL_O_113906103171	DHL CL	50.003881083598536	7.241205882352942	NULL	TDD_09%	NULL	7.957147058823529	3.06	10	1.0	TDDom	FASHFASH	Influencer	Campaign	Liveball	Chile Express
CL_O_115469115345	DHL CL	71.34996248209373	50.59244117647059	NULL	TDE_40%	NULL	79.1622	22.68	12	3.0	TDExport	RETLSPRT	Influencer	Campaign	Liveball	Other
CL_O_115469292567	DHL CL	25.006065899936928	9.876088235294118	NULL	TDE_25%	NULL	12.3642	11.58	3	0.5	TDExport	PROFLOGS	Influencer	Cash Customer	CSV	Other
CL_O_113268468139	DHL CL	40.00040562191981	36.689470588235295	NULL	TDI_38%	NULL	59.1684	35.82	2	20.0	TDImport	TECHCSEL	Influencer	Cash Customer	ISL	NULL
